idx,predicted,actual,confidence,pct_change,correct,strategy_return
0,HOLD,SELL,0.845,-0.027278217765369553,False,0.0
5,BUY,HOLD,0.664,0.004799393350769915,False,0.004799393350769915
10,SELL,HOLD,0.894,-0.0028684991237689973,False,0.0028684991237689973
15,BUY,BUY,0.743,0.022454924664885727,True,0.022454924664885727
20,SELL,HOLD,0.803,-0.016998032691485282,False,0.016998032691485282
25,BUY,BUY,0.802,0.02411134979358386,True,0.02411134979358386
30,BUY,HOLD,1.0,0.005919774155827577,False,0.005919774155827577
35,SELL,SELL,0.625,-0.023288065895947608,True,0.023288065895947608
40,SELL,HOLD,0.671,0.017375421635073926,False,-0.017375421635073926
45,BUY,HOLD,0.735,0.004390163844744131,False,0.004390163844744131
50,SELL,HOLD,0.723,-0.0007902105117261202,False,0.0007902105117261202
55,SELL,SELL,1.0,-0.022975413759784492,True,0.022975413759784492
60,SELL,SELL,0.911,-0.03508679182729893,True,0.03508679182729893
65,HOLD,HOLD,0.92,0.017879356831398612,True,0.0
70,SELL,HOLD,0.742,-0.006879085495280903,False,0.006879085495280903
75,HOLD,HOLD,0.847,-0.004580812128926772,True,0.0
80,SELL,HOLD,0.867,-0.0046889636903422105,False,0.0046889636903422105
85,BUY,HOLD,0.648,0.0020867868666817673,False,0.0020867868666817673
90,HOLD,HOLD,0.821,0.00020336682046521271,True,0.0
95,HOLD,HOLD,0.97,-0.003315380445423226,True,0.0
100,SELL,HOLD,0.958,0.016516204453211357,False,-0.016516204453211357
105,HOLD,SELL,0.829,-0.023985332384082778,False,0.0
110,HOLD,HOLD,0.966,-0.005923512904259362,True,0.0
115,SELL,HOLD,0.662,0.008720592077944069,False,-0.008720592077944069
120,SELL,HOLD,0.993,0.0035377790771036247,False,-0.0035377790771036247
125,SELL,HOLD,0.979,-0.0010026910779411334,False,0.0010026910779411334
130,BUY,HOLD,0.946,-0.00029542239288030684,False,-0.00029542239288030684
135,SELL,HOLD,0.733,0.0020513699119088058,False,-0.0020513699119088058
140,SELL,BUY,0.767,0.02549177459868636,False,-0.02549177459868636
145,SELL,SELL,0.695,-0.026563722728465182,True,0.026563722728465182
150,BUY,HOLD,1.0,0.009695235697364395,False,0.009695235697364395
155,BUY,HOLD,0.716,-0.006006860559850028,False,-0.006006860559850028
160,HOLD,HOLD,0.97,0.005514962272330246,True,0.0
165,SELL,HOLD,0.701,0.009376457563586493,False,-0.009376457563586493
170,SELL,HOLD,0.663,0.009142380223221738,False,-0.009142380223221738
175,BUY,HOLD,0.997,0.011731565858383608,False,0.011731565858383608
180,SELL,HOLD,0.798,-0.0010819101682456554,False,0.0010819101682456554
185,BUY,BUY,1.0,0.026526900057500444,True,0.026526900057500444
190,SELL,HOLD,0.692,-0.0049139267513153735,False,0.0049139267513153735
195,BUY,HOLD,0.984,-0.008220697308107653,False,-0.008220697308107653
200,SELL,HOLD,0.685,-0.013832648420991495,False,0.013832648420991495
205,HOLD,HOLD,0.926,0.006095881500224976,True,0.0
210,SELL,HOLD,0.694,-0.009735559754672858,False,0.009735559754672858
215,BUY,HOLD,0.638,0.00026996529616529205,False,0.00026996529616529205
220,BUY,HOLD,0.914,0.0014173552250809935,False,0.0014173552250809935
225,SELL,HOLD,0.729,0.005857445640912755,False,-0.005857445640912755
230,BUY,HOLD,0.982,0.008695008307128913,False,0.008695008307128913
235,BUY,BUY,0.711,0.03776293750407866,True,0.03776293750407866
240,SELL,HOLD,0.699,0.01615559972791749,False,-0.01615559972791749
245,HOLD,HOLD,0.919,-0.0022149154971678213,True,0.0
250,HOLD,HOLD,0.866,-0.0009100045112855768,True,0.0
255,BUY,HOLD,0.691,0.005452076512819367,False,0.005452076512819367
260,BUY,HOLD,1.0,-0.0012963176270873523,False,-0.0012963176270873523
265,SELL,HOLD,0.663,-0.014260282755857858,False,0.014260282755857858
270,HOLD,HOLD,0.844,0.004485484909983466,True,0.0
275,SELL,SELL,1.0,-0.02100862562209199,True,0.02100862562209199
280,BUY,HOLD,0.689,-0.010429223447090217,False,-0.010429223447090217
285,SELL,HOLD,0.898,-0.0051972553618397305,False,0.0051972553618397305
290,SELL,HOLD,0.639,-0.00018323069968105769,False,0.00018323069968105769
295,BUY,HOLD,0.618,0.0005673960029905005,False,0.0005673960029905005
300,SELL,HOLD,0.795,-0.004886486602097264,False,0.004886486602097264
305,HOLD,HOLD,0.0,-0.008728910419394272,True,0.0
310,BUY,HOLD,0.903,0.015721573322715357,False,0.015721573322715357
315,SELL,HOLD,1.0,0.007747479188205666,False,-0.007747479188205666
320,BUY,HOLD,0.81,0.012886631328902736,False,0.012886631328902736
325,SELL,HOLD,0.998,0.0018583183699662296,False,-0.0018583183699662296
330,BUY,SELL,0.76,-0.045899258532093715,False,-0.045899258532093715
335,HOLD,SELL,0.936,-0.02086493398240477,False,0.0
340,BUY,HOLD,0.604,-0.014517409697827739,False,-0.014517409697827739
345,BUY,SELL,0.939,-0.03639694645221552,False,-0.03639694645221552
350,BUY,SELL,0.841,-0.031121021198431995,False,-0.031121021198431995
355,BUY,BUY,0.61,0.027104077586469003,True,0.027104077586469003
360,BUY,SELL,0.886,-0.048484559127158156,False,-0.048484559127158156
365,SELL,SELL,0.894,-0.021563223858030823,True,0.021563223858030823
370,SELL,SELL,1.0,-0.0487659572510908,True,0.0487659572510908
375,HOLD,SELL,0.838,-0.03901476194589741,False,0.0
380,BUY,BUY,0.794,0.06434916792883584,True,0.06434916792883584
385,BUY,HOLD,0.974,0.01765737259635234,False,0.01765737259635234
390,BUY,BUY,0.763,0.03361766043670912,True,0.03361766043670912
395,BUY,HOLD,0.954,-0.010905813391026883,False,-0.010905813391026883
400,SELL,SELL,0.826,-0.03413334355548522,True,0.03413334355548522
405,BUY,SELL,0.781,-0.03262433332366422,False,-0.03262433332366422
410,HOLD,HOLD,0.888,0.007873767971410187,True,0.0
415,HOLD,HOLD,0.841,-0.014066975196421463,True,0.0
420,BUY,BUY,1.0,0.03584852872323868,True,0.03584852872323868
425,HOLD,HOLD,0.99,0.013424354968109203,True,0.0
430,SELL,HOLD,0.681,0.006028423451988299,False,-0.006028423451988299
435,BUY,HOLD,0.981,-0.007410854907504488,False,-0.007410854907504488
440,SELL,HOLD,0.721,-0.004910857466551042,False,0.004910857466551042
445,SELL,HOLD,0.821,-0.012934995142431044,False,0.012934995142431044
450,SELL,SELL,0.753,-0.02146960088636389,True,0.02146960088636389
455,HOLD,HOLD,0.878,-0.0009479243466092896,True,0.0
460,HOLD,HOLD,0.976,0.0040031319910515065,True,0.0
465,HOLD,HOLD,0.825,0.004040368169782433,True,0.0
470,BUY,HOLD,0.671,-0.0007492754336200868,False,-0.0007492754336200868
475,BUY,HOLD,0.607,-0.005321644048331655,False,-0.005321644048331655
480,BUY,HOLD,0.907,-0.009841813639875581,False,-0.009841813639875581
485,SELL,HOLD,0.637,-0.010548901710931103,False,0.010548901710931103
490,HOLD,HOLD,0.913,0.015442066217708009,True,0.0
495,SELL,HOLD,0.828,0.006122173792242337,False,-0.006122173792242337
500,BUY,HOLD,1.0,-0.00661956397312559,False,-0.00661956397312559
505,SELL,SELL,0.624,-0.026864882273166434,True,0.026864882273166434
